ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-12-06 08:00:00,19145.72391774,14535.791386937102,18879.105572701163,19145.72391774,19145.72391774,-2445.9087616966985,-2445.9087616966985,-2445.9087616966985,-2155.7467779724807,-2155.7467779724807,-2155.7467779724807,-290.1619837242178,-290.1619837242178,-290.1619837242178,0.0,0.0,0.0,16699.815156043303
2025-12-06 09:00:00,19144.57078889318,14593.87821446152,18914.496013993878,19144.57078889318,19144.57078889318,-2448.1330447259743,-2448.1330447259743,-2448.1330447259743,-2107.7247421327975,-2107.7247421327975,-2107.7247421327975,-340.4083025931769,-340.4083025931769,-340.4083025931769,0.0,0.0,0.0,16696.437744167204
2025-12-06 10:00:00,19143.417660046365,15019.727844635177,19195.678621317405,19143.417660046365,19143.417660046365,-2081.235940538597,-2081.235940538597,-2081.235940538597,-1690.5284616403496,-1690.5284616403496,-1690.5284616403496,-390.70747889824713,-390.70747889824713,-390.70747889824713,0.0,0.0,0.0,17062.181719507767
2025-12-06 11:00:00,19142.264531199547,15539.22722195982,19843.95186429832,19142.264531199547,19142.264531199547,-1470.0628120445963,-1470.0628120445963,-1470.0628120445963,-1029.357239842221,-1029.357239842221,-1029.357239842221,-440.70557220237527,-440.70557220237527,-440.70557220237527,0.0,0.0,0.0,17672.201719154953
2025-12-06 12:00:00,19141.11140235273,16157.950598858608,20533.14712048092,19141.11140235273,19141.11140235273,-869.4918794690781,-869.4918794690781,-869.4918794690781,-379.4461101405451,-379.4461101405451,-379.4461101405451,-490.045769328533,-490.045769328533,-490.045769328533,0.0,0.0,0.0,18271.61952288365
2025-12-06 13:00:00,19139.958273505912,16453.24854515001,20703.403823558016,19139.958273505912,19139.958273505912,-509.0110144432136,-509.0110144432136,-509.0110144432136,29.361052106277764,29.361052106277764,29.361052106277764,-538.3720665494914,-538.3720665494914,-538.3720665494914,0.0,0.0,0.0,18630.947259062697
2025-12-06 14:00:00,19138.805144659094,16534.59821060341,20834.008030155524,19138.805144659094,19138.805144659094,-455.1778970766698,-455.1778970766698,-455.1778970766698,130.1550585710146,130.1550585710146,130.1550585710146,-585.3329556476845,-585.3329556476845,-585.3329556476845,0.0,0.0,0.0,18683.627247582426
2025-12-06 15:00:00,19137.65201581228,16262.968649621038,20769.25622942916,19137.65201581228,19137.65201581228,-603.7184625950772,-603.7184625950772,-603.7184625950772,26.8666082513095,26.8666082513095,26.8666082513095,-630.585070846387,-630.585070846387,-630.585070846387,0.0,0.0,0.0,18533.933553217204
2025-12-06 16:00:00,19136.49888696546,16059.030218998927,20587.832165625943,19136.49888696546,19136.49888696546,-790.6203477932426,-790.6203477932426,-790.6203477932426,-116.82359361955672,-116.82359361955672,-116.82359361955672,-673.7967541736857,-673.7967541736857,-673.7967541736857,0.0,0.0,0.0,18345.878539172216
2025-12-06 17:00:00,19135.345758118645,16013.597168784006,20237.262208591208,19135.345758118645,19135.345758118645,-907.885537439443,-907.885537439443,-907.885537439443,-193.23403964629853,-193.23403964629853,-193.23403964629853,-714.6514977931446,-714.6514977931446,-714.6514977931446,0.0,0.0,0.0,18227.4602206792
2025-12-06 18:00:00,19134.192629271827,16000.738587304102,20430.072762034182,19134.192629271827,19134.192629271827,-923.8916079218293,-923.8916079218293,-923.8916079218293,-171.04038470593656,-171.04038470593656,-171.04038470593656,-752.8512232158927,-752.8512232158927,-752.8512232158927,0.0,0.0,0.0,18210.30102135
2025-12-06 19:00:00,19133.039500425006,15973.650854373991,20617.23246990224,19133.039500425006,19133.039500425006,-819.1324568536149,-819.1324568536149,-819.1324568536149,-31.01309758603899,-31.01309758603899,-31.01309758603899,-788.119359267576,-788.119359267576,-788.119359267576,0.0,0.0,0.0,18313.90704357139
2025-12-06 20:00:00,19131.88637157819,16389.523024789538,20771.184795314904,19131.88637157819,19131.88637157819,-537.8645081511169,-537.8645081511169,-537.8645081511169,282.3391749729146,282.3391749729146,282.3391749729146,-820.2036831240313,-820.2036831240313,-820.2036831240313,0.0,0.0,0.0,18594.021863427075
2025-12-06 21:00:00,19130.733242731374,17035.94808195675,21331.140809887078,19130.733242731374,19130.733242731374,-32.06496694640965,-32.06496694640965,-32.06496694640965,816.8139246401947,816.8139246401947,816.8139246401947,-848.8788915866041,-848.8788915866041,-848.8788915866041,0.0,0.0,0.0,19098.668275784963
2025-12-06 22:00:00,19129.580113884556,17642.184807689933,21979.615560653507,19129.580113884556,19129.580113884556,637.2924519074105,637.2924519074105,637.2924519074105,1511.2413247631373,1511.2413247631373,1511.2413247631373,-873.9488728557266,-873.9488728557266,-873.9488728557266,0.0,0.0,0.0,19766.872565791968
