location_id,location_name,parameter,value,unit,date
384,CCNY,o3,0.026,ppm,2016-03-12T08:00:00Z
384,CCNY,o3,0.031,ppm,2016-03-26T15:00:00Z
384,CCNY,o3,0.037,ppm,2016-03-31T13:00:00Z
384,CCNY,o3,0.046,ppm,2016-03-31T16:00:00Z
384,CCNY,o3,0.034,ppm,2016-04-01T04:00:00Z
384,CCNY,o3,0.018,ppm,2016-04-01T05:00:00Z
384,CCNY,o3,0.021,ppm,2016-04-01T06:00:00Z
384,CCNY,o3,0.031,ppm,2016-04-01T07:00:00Z
384,CCNY,o3,0.03,ppm,2016-04-01T08:00:00Z
384,CCNY,o3,0.009,ppm,2016-04-01T09:00:00Z
384,CCNY,o3,0.0,ppm,2016-04-01T10:00:00Z
384,CCNY,o3,0.0,ppm,2016-04-01T11:00:00Z
384,CCNY,o3,0.001,ppm,2016-04-01T12:00:00Z
384,CCNY,o3,0.003,ppm,2016-04-01T13:00:00Z
384,CCNY,o3,0.003,ppm,2016-04-01T14:00:00Z
384,CCNY,o3,0.003,ppm,2016-04-01T15:00:00Z
384,CCNY,o3,0.013,ppm,2016-04-01T16:00:00Z
384,CCNY,o3,0.025,ppm,2016-04-01T17:00:00Z
384,CCNY,o3,0.034,ppm,2016-04-01T18:00:00Z
384,CCNY,o3,0.027,ppm,2016-04-01T22:00:00Z
384,CCNY,o3,0.039,ppm,2016-04-01T23:00:00Z
384,CCNY,o3,0.029,ppm,2016-04-02T00:00:00Z
384,CCNY,o3,0.014,ppm,2016-04-02T01:00:00Z
384,CCNY,o3,0.026,ppm,2016-04-02T02:00:00Z
384,CCNY,o3,0.009,ppm,2016-04-02T12:00:00Z
384,CCNY,o3,0.017,ppm,2016-04-02T13:00:00Z
384,CCNY,o3,0.027,ppm,2016-04-02T16:00:00Z
384,CCNY,o3,0.027,ppm,2016-04-02T17:00:00Z
384,CCNY,o3,0.033,ppm,2016-04-02T18:00:00Z
384,CCNY,o3,0.034,ppm,2016-04-02T19:00:00Z
384,CCNY,o3,0.038,ppm,2016-04-03T12:00:00Z
384,CCNY,o3,0.0,ppm,2016-05-12T08:00:00Z
384,CCNY,o3,0.018,ppm,2016-05-21T06:00:00Z
384,CCNY,o3,0.013,ppm,2016-08-04T05:00:00Z
384,CCNY,o3,0.015,ppm,2016-08-04T16:00:00Z
384,CCNY,o3,0.034,ppm,2016-08-04T19:00:00Z
384,CCNY,o3,0.027,ppm,2016-08-04T22:00:00Z
384,CCNY,o3,0.02,ppm,2016-08-15T03:00:00Z
384,CCNY,o3,0.045,ppm,2016-08-15T15:00:00Z
384,CCNY,o3,0.024,ppm,2016-08-16T03:00:00Z
384,CCNY,o3,0.039,ppm,2016-08-16T21:00:00Z
384,CCNY,o3,0.022,ppm,2016-08-18T03:00:00Z
384,CCNY,o3,0.02,ppm,2016-09-04T03:00:00Z
384,CCNY,o3,0.022,ppm,2016-09-30T03:00:00Z
384,CCNY,o3,0.018,ppm,2016-10-01T03:00:00Z
384,CCNY,o3,0.001,ppm,2016-10-03T03:00:00Z
384,CCNY,o3,0.016,ppm,2016-10-06T03:00:00Z
384,CCNY,o3,0.018,ppm,2016-10-29T17:00:00Z
384,CCNY,o3,0.018,ppm,2016-10-29T18:00:00Z
384,CCNY,o3,0.019,ppm,2016-10-29T19:00:00Z
384,CCNY,o3,0.016,ppm,2016-10-29T20:00:00Z
384,CCNY,o3,0.009,ppm,2016-10-29T21:00:00Z
384,CCNY,o3,0.004,ppm,2016-10-29T23:00:00Z
384,CCNY,o3,0.015,ppm,2016-10-30T00:00:00Z
384,CCNY,o3,0.023,ppm,2016-10-30T01:00:00Z
384,CCNY,o3,0.021,ppm,2016-10-30T02:00:00Z
384,CCNY,o3,0.022,ppm,2016-10-30T03:00:00Z
384,CCNY,o3,0.021,ppm,2016-10-30T05:00:00Z
384,CCNY,o3,0.021,ppm,2016-10-30T06:00:00Z
384,CCNY,o3,0.018,ppm,2016-10-30T07:00:00Z
384,CCNY,o3,0.017,ppm,2016-10-30T08:00:00Z
384,CCNY,o3,0.014,ppm,2016-10-30T09:00:00Z
384,CCNY,o3,0.009,ppm,2016-10-30T10:00:00Z
384,CCNY,o3,0.007,ppm,2016-10-30T11:00:00Z
384,CCNY,o3,0.01,ppm,2016-10-30T12:00:00Z
