period,respondent,respondent-name,type,type-name,value,value-units
2026-07-02T15,NY,New York,D,Demand,24669,megawatthours
2026-07-02T14,NY,New York,D,Demand,24755,megawatthours
2026-07-02T13,NY,New York,D,Demand,23714,megawatthours
2026-07-02T12,NY,New York,D,Demand,22686,megawatthours
2026-07-02T11,NY,New York,D,Demand,21523,megawatthours
2026-07-02T10,NY,New York,D,Demand,20703,megawatthours
2026-07-02T09,NY,New York,D,Demand,20483,megawatthours
2026-07-02T08,NY,New York,D,Demand,20634,megawatthours
2026-07-02T07,NY,New York,D,Demand,21159,megawatthours
2026-07-02T06,NY,New York,D,Demand,22004,megawatthours
2026-07-02T05,NY,New York,D,Demand,23120,megawatthours
2026-07-02T04,NY,New York,D,Demand,24486,megawatthours
2026-07-02T03,NY,New York,D,Demand,25998,megawatthours
2026-07-02T02,NY,New York,D,Demand,27377,megawatthours
2026-07-02T01,NY,New York,D,Demand,28408,megawatthours
2026-07-02T00,NY,New York,D,Demand,29219,megawatthours
2026-07-01T23,NY,New York,D,Demand,29582,megawatthours
2026-07-01T22,NY,New York,D,Demand,29174,megawatthours
2026-07-01T21,NY,New York,D,Demand,28389,megawatthours
2026-07-01T20,NY,New York,D,Demand,27790,megawatthours
2026-07-01T19,NY,New York,D,Demand,26972,megawatthours
2026-07-01T18,NY,New York,D,Demand,26130,megawatthours
2026-07-01T17,NY,New York,D,Demand,24931,megawatthours
2026-07-01T16,NY,New York,D,Demand,23721,megawatthours
2026-07-01T15,NY,New York,D,Demand,22526,megawatthours
2026-07-01T14,NY,New York,D,Demand,21521,megawatthours
2026-07-01T13,NY,New York,D,Demand,20815,megawatthours
2026-07-01T12,NY,New York,D,Demand,20108,megawatthours
2026-07-01T11,NY,New York,D,Demand,19221,megawatthours
2026-07-01T10,NY,New York,D,Demand,18471,megawatthours
2026-07-01T09,NY,New York,D,Demand,18147,megawatthours
2026-07-01T08,NY,New York,D,Demand,18235,megawatthours
2026-07-01T07,NY,New York,D,Demand,18661,megawatthours
2026-07-01T06,NY,New York,D,Demand,19456,megawatthours
2026-07-01T05,NY,New York,D,Demand,20529,megawatthours
2026-07-01T04,NY,New York,D,Demand,21863,megawatthours
2026-07-01T03,NY,New York,D,Demand,23380,megawatthours
2026-07-01T02,NY,New York,D,Demand,24748,megawatthours
2026-07-01T01,NY,New York,D,Demand,25497,megawatthours
2026-07-01T00,NY,New York,D,Demand,26066,megawatthours
2026-06-30T23,NY,New York,D,Demand,26218,megawatthours
2026-06-30T22,NY,New York,D,Demand,26122,megawatthours
2026-06-30T21,NY,New York,D,Demand,25646,megawatthours
2026-06-30T20,NY,New York,D,Demand,25124,megawatthours
2026-06-30T19,NY,New York,D,Demand,25221,megawatthours
2026-06-30T18,NY,New York,D,Demand,24486,megawatthours
2026-06-30T17,NY,New York,D,Demand,23445,megawatthours
2026-06-30T16,NY,New York,D,Demand,22349,megawatthours
2026-06-30T15,NY,New York,D,Demand,21282,megawatthours
2026-06-30T14,NY,New York,D,Demand,20451,megawatthours
2026-06-30T13,NY,New York,D,Demand,19618,megawatthours
2026-06-30T12,NY,New York,D,Demand,18759,megawatthours
2026-06-30T11,NY,New York,D,Demand,17782,megawatthours
2026-06-30T10,NY,New York,D,Demand,16964,megawatthours
2026-06-30T09,NY,New York,D,Demand,16593,megawatthours
2026-06-30T08,NY,New York,D,Demand,16656,megawatthours
2026-06-30T07,NY,New York,D,Demand,17138,megawatthours
2026-06-30T06,NY,New York,D,Demand,17986,megawatthours
2026-06-30T05,NY,New York,D,Demand,19020,megawatthours
2026-06-30T04,NY,New York,D,Demand,20408,megawatthours
2026-06-30T03,NY,New York,D,Demand,22039,megawatthours
2026-06-30T02,NY,New York,D,Demand,23569,megawatthours
2026-06-30T01,NY,New York,D,Demand,24530,megawatthours
2026-06-30T00,NY,New York,D,Demand,25286,megawatthours
2026-06-29T23,NY,New York,D,Demand,25345,megawatthours
2026-06-29T22,NY,New York,D,Demand,25098,megawatthours
2026-06-29T21,NY,New York,D,Demand,24168,megawatthours
2026-06-29T20,NY,New York,D,Demand,23176,megawatthours
2026-06-29T19,NY,New York,D,Demand,22321,megawatthours
2026-06-29T18,NY,New York,D,Demand,21622,megawatthours
2026-06-29T17,NY,New York,D,Demand,20817,megawatthours
2026-06-29T16,NY,New York,D,Demand,19987,megawatthours
2026-06-29T15,NY,New York,D,Demand,19074,megawatthours
2026-06-29T14,NY,New York,D,Demand,18295,megawatthours
2026-06-29T13,NY,New York,D,Demand,17707,megawatthours
2026-06-29T12,NY,New York,D,Demand,17291,megawatthours
2026-06-29T11,NY,New York,D,Demand,16611,megawatthours
2026-06-29T10,NY,New York,D,Demand,15860,megawatthours
2026-06-29T09,NY,New York,D,Demand,15527,megawatthours
2026-06-29T08,NY,New York,D,Demand,15537,megawatthours
2026-06-29T07,NY,New York,D,Demand,15950,megawatthours
2026-06-29T06,NY,New York,D,Demand,16613,megawatthours
2026-06-29T05,NY,New York,D,Demand,17533,megawatthours
2026-06-29T04,NY,New York,D,Demand,18624,megawatthours
2026-06-29T03,NY,New York,D,Demand,20001,megawatthours
2026-06-29T02,NY,New York,D,Demand,21230,megawatthours
2026-06-29T01,NY,New York,D,Demand,21811,megawatthours
2026-06-29T00,NY,New York,D,Demand,22170,megawatthours
2026-06-28T23,NY,New York,D,Demand,21914,megawatthours
2026-06-28T22,NY,New York,D,Demand,21202,megawatthours
2026-06-28T21,NY,New York,D,Demand,20217,megawatthours
2026-06-28T20,NY,New York,D,Demand,19234,megawatthours
2026-06-28T19,NY,New York,D,Demand,18525,megawatthours
2026-06-28T18,NY,New York,D,Demand,17887,megawatthours
2026-06-28T17,NY,New York,D,Demand,17311,megawatthours
2026-06-28T16,NY,New York,D,Demand,16379,megawatthours
2026-06-28T15,NY,New York,D,Demand,15563,megawatthours
2026-06-28T14,NY,New York,D,Demand,14961,megawatthours
2026-06-28T13,NY,New York,D,Demand,14613,megawatthours
2026-06-28T12,NY,New York,D,Demand,14532,megawatthours
2026-06-28T11,NY,New York,D,Demand,14548,megawatthours
2026-06-28T10,NY,New York,D,Demand,14642,megawatthours
2026-06-28T09,NY,New York,D,Demand,14743,megawatthours
2026-06-28T08,NY,New York,D,Demand,14973,megawatthours
2026-06-28T07,NY,New York,D,Demand,15366,megawatthours
2026-06-28T06,NY,New York,D,Demand,15991,megawatthours
2026-06-28T05,NY,New York,D,Demand,16803,megawatthours
